lsoa11cd,lad19cd,lad19nm,index_domain,decile,rank,score,year
E01004770,E08000001,Bolton,Income,8,23948,0.059,2019
E01004770,E08000001,Bolton,Income Deprivation Affecting Children,9,29417,0.038,2019
E01004770,E08000001,Bolton,Income Deprivation Affecting Older People,7,22059,0.087,2019
E01004770,E08000001,Bolton,Index of Multiple Deprivation,7,22815,11.437,2019
E01004770,E08000001,Bolton,Living Environment,5,14160,21.539,2019
E01004771,E08000001,Bolton,Barriers to Housing and Services,10,32663,2.613,2019
E01004771,E08000001,Bolton,Crime,4,12362,0.272,2019
E01004771,E08000001,Bolton,"Education, Skills and Training",9,29270,3.39,2019
E01004771,E08000001,Bolton,Employment,9,29530,0.034,2019
E01004771,E08000001,Bolton,Health Deprivation and Disability,7,21318,-0.342,2019
E01004771,E08000001,Bolton,Income,10,30003,0.034,2019
E01004771,E08000001,Bolton,Income Deprivation Affecting Children,10,30264,0.033,2019
E01004771,E08000001,Bolton,Income Deprivation Affecting Older People,10,30956,0.038,2019
E01004771,E08000001,Bolton,Index of Multiple Deprivation,10,29639,5.833,2019
E01004771,E08000001,Bolton,Living Environment,6,19490,14.69,2019
E01004772,E08000001,Bolton,Barriers to Housing and Services,4,10343,25.82,2019
E01004772,E08000001,Bolton,Crime,4,10632,0.388,2019
E01004772,E08000001,Bolton,"Education, Skills and Training",3,8389,30.435,2019
E01004772,E08000001,Bolton,Employment,2,4513,0.177,2019
E01004772,E08000001,Bolton,Health Deprivation and Disability,2,5319,0.866,2019
E01004772,E08000001,Bolton,Income,2,4834,0.233,2019
E01004772,E08000001,Bolton,Income Deprivation Affecting Children,3,6711,0.254,2019
E01004772,E08000001,Bolton,Income Deprivation Affecting Older People,2,6067,0.267,2019
E01004772,E08000001,Bolton,Index of Multiple Deprivation,2,6242,34.074,2019
E01004772,E08000001,Bolton,Living Environment,9,28233,6.097,2019
E01004773,E08000001,Bolton,Barriers to Housing and Services,9,29192,9.369,2019
E01004773,E08000001,Bolton,Crime,5,14635,0.131,2019
E01004773,E08000001,Bolton,"Education, Skills and Training",6,18937,13.112,2019
E01004773,E08000001,Bolton,Employment,8,25029,0.049,2019
E01004773,E08000001,Bolton,Health Deprivation and Disability,7,21115,-0.33,2019
E01004773,E08000001,Bolton,Income,6,16675,0.098,2019
E01004773,E08000001,Bolton,Income Deprivation Affecting Children,5,15403,0.136,2019
E01004773,E08000001,Bolton,Income Deprivation Affecting Older People,6,17403,0.12,2019
E01004773,E08000001,Bolton,Index of Multiple Deprivation,7,20211,13.745,2019
E01004773,E08000001,Bolton,Living Environment,2,4840,38.399,2019
E01004774,E08000001,Bolton,Barriers to Housing and Services,9,29042,9.53,2019
E01004774,E08000001,Bolton,Crime,3,7081,0.65,2019
E01004774,E08000001,Bolton,"Education, Skills and Training",3,9373,28.067,2019
E01004774,E08000001,Bolton,Employment,3,7326,0.142,2019
E01004774,E08000001,Bolton,Health Deprivation and Disability,3,7234,0.665,2019
E01004774,E08000001,Bolton,Income,3,6702,0.2,2019
E01004774,E08000001,Bolton,Income Deprivation Affecting Children,2,6394,0.259,2019
E01004774,E08000001,Bolton,Income Deprivation Affecting Older People,3,8532,0.222,2019
E01004774,E08000001,Bolton,Index of Multiple Deprivation,3,7377,31.354,2019
E01004774,E08000001,Bolton,Living Environment,2,4584,39.106,2019
E01004775,E08000001,Bolton,Barriers to Housing and Services,2,6145,31.222,2019
E01004775,E08000001,Bolton,Crime,7,19890,-0.219,2019
E01004775,E08000001,Bolton,"Education, Skills and Training",8,23617,8.32,2019
E01004775,E08000001,Bolton,Employment,7,22937,0.055,2019
E01004775,E08000001,Bolton,Health Deprivation and Disability,5,13916,0.138,2019
E01004775,E08000001,Bolton,Income,8,26222,0.05,2019
E01004775,E08000001,Bolton,Income Deprivation Affecting Children,8,23554,0.072,2019
E01004775,E08000001,Bolton,Income Deprivation Affecting Older People,9,27329,0.059,2019
E01004775,E08000001,Bolton,Index of Multiple Deprivation,7,21251,12.812,2019
E01004775,E08000001,Bolton,Living Environment,5,14671,20.834,2019
E01004776,E08000001,Bolton,Barriers to Housing and Services,8,23440,14.67,2019
E01004776,E08000001,Bolton,Crime,8,23096,-0.449,2019
E01004776,E08000001,Bolton,"Education, Skills and Training",5,13766,19.994,2019
E01004776,E08000001,Bolton,Employment,4,10571,0.113,2019
E01004776,E08000001,Bolton,Health Deprivation and Disability,3,7399,0.649,2019
E01004776,E08000001,Bolton,Income,4,12631,0.129,2019
E01004776,E08000001,Bolton,Income Deprivation Affecting Children,6,18721,0.106,2019
E01004776,E08000001,Bolton,Income Deprivation Affecting Older People,3,7978,0.232,2019
E01004776,E08000001,Bolton,Index of Multiple Deprivation,4,12402,22.479,2019
E01004776,E08000001,Bolton,Living Environment,3,6616,34.137,2019
E01004777,E08000001,Bolton,Barriers to Housing and Services,10,31393,6.264,2019
E01004777,E08000001,Bolton,Crime,3,7740,0.601,2019
E01004777,E08000001,Bolton,"Education, Skills and Training",4,10932,24.825,2019
E01004777,E08000001,Bolton,Employment,3,7531,0.14,2019
E01004777,E08000001,Bolton,Health Deprivation and Disability,1,2508,1.27,2019
E01004777,E08000001,Bolton,Income,3,7693,0.185,2019
E01004777,E08000001,Bolton,Income Deprivation Affecting Children,3,6824,0.251,2019
E01004777,E08000001,Bolton,Income Deprivation Affecting Older People,3,7574,0.239,2019
E01004777,E08000001,Bolton,Index of Multiple Deprivation,3,7187,31.728,2019
E01004777,E08000001,Bolton,Living Environment,3,7545,32.363,2019
E01004778,E08000001,Bolton,Barriers to Housing and Services,10,32764,1.932,2019
E01004778,E08000001,Bolton,Crime,8,24973,-0.59,2019
E01004778,E08000001,Bolton,"Education, Skills and Training",6,18241,13.914,2019
E01004778,E08000001,Bolton,Employment,8,25249,0.048,2019
E01004778,E08000001,Bolton,Health Deprivation and Disability,4,11870,0.282,2019
E01004778,E08000001,Bolton,Income,8,23695,0.06,2019
E01004778,E08000001,Bolton,Income Deprivation Affecting Children,9,29459,0.038,2019
E01004778,E08000001,Bolton,Income Deprivation Affecting Older People,7,21493,0.091,2019
E01004778,E08000001,Bolton,Index of Multiple Deprivation,8,25859,8.945,2019
E01004778,E08000001,Bolton,Living Environment,8,26249,7.934,2019
E01004779,E08000001,Bolton,Barriers to Housing and Services,8,25075,13.282,2019
E01004779,E08000001,Bolton,Crime,5,15736,0.06,2019
E01004779,E08000001,Bolton,"Education, Skills and Training",6,18245,13.91,2019
E01004779,E08000001,Bolton,Employment,3,9832,0.119,2019
E01004779,E08000001,Bolton,Health Deprivation and Disability,3,8904,0.517,2019
E01004779,E08000001,Bolton,Income,4,12410,0.131,2019
E01004779,E08000001,Bolton,Income Deprivation Affecting Children,5,14173,0.149,2019
E01004779,E08000001,Bolton,Income Deprivation Affecting Older People,4,12018,0.173,2019
E01004779,E08000001,Bolton,Index of Multiple Deprivation,5,14679,19.636,2019
E01004779,E08000001,Bolton,Living Environment,7,22819,11.159,2019
E01004780,E08000001,Bolton,Barriers to Housing and Services,5,14405,21.931,2019
E01004780,E08000001,Bolton,Crime,7,20157,-0.237,2019
E01004780,E08000001,Bolton,"Education, Skills and Training",9,26439,5.752,2019
E01004780,E08000001,Bolton,Employment,7,22637,0.056,2019
E01004780,E08000001,Bolton,Health Deprivation and Disability,7,21673,-0.366,2019
E01004780,E08000001,Bolton,Income,8,24252,0.058,2019
E01004780,E08000001,Bolton,Income Deprivation Affecting Children,8,25685,0.06,2019
E01004780,E08000001,Bolton,Income Deprivation Affecting Older People,7,22460,0.085,2019
E01004780,E08000001,Bolton,Index of Multiple Deprivation,8,25234,9.426,2019
E01004780,E08000001,Bolton,Living Environment,6,17736,16.819,2019
E01004781,E08000001,Bolton,Barriers to Housing and Services,9,26395,12.155,2019
E01004781,E08000001,Bolton,Crime,5,16080,0.039,2019
E01004781,E08000001,Bolton,"Education, Skills and Training",8,24616,7.376,2019
E01004781,E08000001,Bolton,Employment,6,16798,0.078,2019
E01004781,E08000001,Bolton,Health Deprivation and Disability,5,15195,0.052,2019
E01004781,E08000001,Bolton,Income,6,19344,0.081,2019
E01004781,E08000001,Bolton,Income Deprivation Affecting Children,6,19391,0.1,2019
E01004781,E08000001,Bolton,Income Deprivation Affecting Older People,6,18103,0.114,2019
E01004781,E08000001,Bolton,Index of Multiple Deprivation,7,21281,12.787,2019
E01004781,E08000001,Bolton,Living Environment,5,16091,18.933,2019
E01004782,E08000001,Bolton,Barriers to Housing and Services,10,30080,8.322,2019
E01004782,E08000001,Bolton,Crime,5,13928,0.174,2019
E01004782,E08000001,Bolton,"Education, Skills and Training",3,9346,28.121,2019
E01004782,E08000001,Bolton,Employment,3,7806,0.137,2019
E01004782,E08000001,Bolton,Health Deprivation and Disability,3,7744,0.616,2019
E01004782,E08000001,Bolton,Income,4,10239,0.153,2019
E01004782,E08000001,Bolton,Income Deprivation Affecting Children,4,11245,0.184,2019
E01004782,E08000001,Bolton,Income Deprivation Affecting Older People,5,13221,0.159,2019
E01004782,E08000001,Bolton,Index of Multiple Deprivation,4,10788,24.964,2019
E01004782,E08000001,Bolton,Living Environment,5,14561,21.005,2019
E01004783,E08000001,Bolton,Barriers to Housing and Services,6,17055,19.652,2019
E01004783,E08000001,Bolton,Crime,6,17929,-0.086,2019
E01004783,E08000001,Bolton,"Education, Skills and Training",7,22778,9.078,2019
E01004783,E08000001,Bolton,Employment,5,15172,0.085,2019
E01004783,E08000001,Bolton,Health Deprivation and Disability,5,14207,0.119,2019
E01004783,E08000001,Bolton,Income,6,19235,0.082,2019
E01004783,E08000001,Bolton,Income Deprivation Affecting Children,7,20635,0.091,2019
E01004783,E08000001,Bolton,Income Deprivation Affecting Older People,8,23735,0.078,2019
E01004783,E08000001,Bolton,Index of Multiple Deprivation,6,19530,14.407,2019
E01004783,E08000001,Bolton,Living Environment,6,16481,18.436,2019
E01004784,E08000001,Bolton,Barriers to Housing and Services,7,22450,15.425,2019
E01004784,E08000001,Bolton,Crime,7,21237,-0.314,2019
E01004784,E08000001,Bolton,"Education, Skills and Training",9,26475,5.72,2019
E01004784,E08000001,Bolton,Employment,7,19798,0.066,2019
E01004784,E08000001,Bolton,Health Deprivation and Disability,5,14191,0.12,2019
E01004784,E08000001,Bolton,Income,9,29421,0.037,2019
E01004784,E08000001,Bolton,Income Deprivation Affecting Children,10,32286,0.015,2019
E01004784,E08000001,Bolton,Income Deprivation Affecting Older People,10,30431,0.042,2019
E01004784,E08000001,Bolton,Index of Multiple Deprivation,9,26540,8.416,2019
E01004784,E08000001,Bolton,Living Environment,9,27879,6.422,2019
E01004785,E08000001,Bolton,Barriers to Housing and Services,9,26450,12.109,2019
E01004785,E08000001,Bolton,Crime,1,3273,1.034,2019
E01004785,E08000001,Bolton,"Education, Skills and Training",5,14518,18.847,2019
E01004785,E08000001,Bolton,Employment,3,8266,0.132,2019
E01004785,E08000001,Bolton,Health Deprivation and Disability,3,8850,0.522,2019
E01004785,E08000001,Bolton,Income,4,10451,0.151,2019
E01004785,E08000001,Bolton,Income Deprivation Affecting Children,3,7221,0.244,2019
E01004785,E08000001,Bolton,Income Deprivation Affecting Older People,7,20027,0.1,2019
E01004785,E08000001,Bolton,Index of Multiple Deprivation,4,10688,25.123,2019
E01004785,E08000001,Bolton,Living Environment,7,22563,11.409,2019
E01004786,E08000001,Bolton,Barriers to Housing and Services,8,25905,12.589,2019
E01004786,E08000001,Bolton,Crime,4,10049,0.429,2019
E01004786,E08000001,Bolton,"Education, Skills and Training",7,21110,10.767,2019
E01004786,E08000001,Bolton,Employment,7,19945,0.066,2019
E01004786,E08000001,Bolton,Health Deprivation and Disability,3,9595,0.46,2019
E01004786,E08000001,Bolton,Income,7,20737,0.074,2019
E01004786,E08000001,Bolton,Income Deprivation Affecting Children,7,21599,0.085,2019
E01004786,E08000001,Bolton,Income Deprivation Affecting Older People,6,19184,0.106,2019
E01004786,E08000001,Bolton,Index of Multiple Deprivation,7,20437,13.546,2019
E01004786,E08000001,Bolton,Living Environment,8,24489,9.586,2019
E01004787,E08000001,Bolton,Barriers to Housing and Services,5,15104,21.323,2019
E01004787,E08000001,Bolton,Crime,1,2110,1.225,2019
E01004787,E08000001,Bolton,"Education, Skills and Training",1,2694,53.205,2019
E01004787,E08000001,Bolton,Employment,1,276,0.322,2019
E01004787,E08000001,Bolton,Health Deprivation and Disability,1,741,1.759,2019
E01004787,E08000001,Bolton,Income,1,187,0.435,2019
E01004787,E08000001,Bolton,Income Deprivation Affecting Children,1,277,0.509,2019
E01004787,E08000001,Bolton,Income Deprivation Affecting Older People,1,797,0.479,2019
E01004787,E08000001,Bolton,Index of Multiple Deprivation,1,401,67.018,2019
E01004787,E08000001,Bolton,Living Environment,5,15611,19.585,2019
E01004788,E08000001,Bolton,Barriers to Housing and Services,8,25611,12.828,2019
E01004788,E08000001,Bolton,Crime,6,19330,-0.179,2019
E01004788,E08000001,Bolton,"Education, Skills and Training",10,29990,2.793,2019
E01004788,E08000001,Bolton,Employment,8,24027,0.052,2019
E01004788,E08000001,Bolton,Health Deprivation and Disability,6,16917,-0.058,2019
E01004788,E08000001,Bolton,Income,9,29507,0.036,2019
E01004788,E08000001,Bolton,Income Deprivation Affecting Children,10,30645,0.03,2019
E01004788,E08000001,Bolton,Income Deprivation Affecting Older People,10,31138,0.037,2019
E01004788,E08000001,Bolton,Index of Multiple Deprivation,9,29064,6.331,2019
E01004788,E08000001,Bolton,Living Environment,9,29164,5.146,2019
E01004789,E08000001,Bolton,Barriers to Housing and Services,5,14467,21.877,2019
E01004789,E08000001,Bolton,Crime,5,15542,0.072,2019
E01004789,E08000001,Bolton,"Education, Skills and Training",9,28131,4.329,2019
E01004789,E08000001,Bolton,Employment,8,26019,0.046,2019
E01004789,E08000001,Bolton,Health Deprivation and Disability,6,18159,-0.136,2019
E01004789,E08000001,Bolton,Income,9,29492,0.036,2019
E01004789,E08000001,Bolton,Income Deprivation Affecting Children,10,30144,0.034,2019
E01004789,E08000001,Bolton,Income Deprivation Affecting Older People,10,30660,0.04,2019
E01004789,E08000001,Bolton,Index of Multiple Deprivation,9,26544,8.413,2019
E01004789,E08000001,Bolton,Living Environment,6,19426,14.766,2019
E01004790,E08000001,Bolton,Barriers to Housing and Services,7,22435,15.438,2019
E01004790,E08000001,Bolton,Crime,3,7154,0.644,2019
E01004790,E08000001,Bolton,"Education, Skills and Training",8,24410,7.567,2019
E01004790,E08000001,Bolton,Employment,5,15931,0.082,2019
E01004790,E08000001,Bolton,Health Deprivation and Disability,4,12106,0.266,2019
E01004790,E08000001,Bolton,Income,7,20725,0.074,2019
E01004790,E08000001,Bolton,Income Deprivation Affecting Children,7,21938,0.082,2019
E01004790,E08000001,Bolton,Income Deprivation Affecting Older People,8,23953,0.076,2019
E01004790,E08000001,Bolton,Index of Multiple Deprivation,6,18283,15.653,2019
E01004790,E08000001,Bolton,Living Environment,5,14387,21.219,2019
E01004791,E08000001,Bolton,Barriers to Housing and Services,10,31349,6.331,2019
E01004791,E08000001,Bolton,Crime,7,21750,-0.35,2019
E01004791,E08000001,Bolton,"Education, Skills and Training",9,27708,4.666,2019
E01004791,E08000001,Bolton,Employment,7,22845,0.056,2019
E01004791,E08000001,Bolton,Health Deprivation and Disability,4,12968,0.207,2019
E01004791,E08000001,Bolton,Income,7,22039,0.068,2019
E01004791,E08000001,Bolton,Income Deprivation Affecting Children,8,23285,0.074,2019
E01004791,E08000001,Bolton,Income Deprivation Affecting Older People,6,18828,0.108,2019
E01004791,E08000001,Bolton,Index of Multiple Deprivation,8,25063,9.547,2019
E01004791,E08000001,Bolton,Living Environment,6,17243,17.459,2019
E01004792,E08000001,Bolton,Barriers to Housing and Services,7,21968,15.782,2019
E01004792,E08000001,Bolton,Crime,9,29060,-0.996,2019
E01004792,E08000001,Bolton,"Education, Skills and Training",9,28183,4.288,2019
E01004792,E08000001,Bolton,Employment,9,26790,0.044,2019
E01004792,E08000001,Bolton,Health Deprivation and Disability,5,14885,0.074,2019
E01004792,E08000001,Bolton,Income,10,31293,0.027,2019
E01004792,E08000001,Bolton,Income Deprivation Affecting Children,10,32244,0.016,2019
E01004792,E08000001,Bolton,Income Deprivation Affecting Older People,10,32127,0.028,2019
E01004792,E08000001,Bolton,Index of Multiple Deprivation,10,29903,5.601,2019
E01004792,E08000001,Bolton,Living Environment,9,28075,6.237,2019
E01004793,E08000001,Bolton,Barriers to Housing and Services,6,18614,18.394,2019
E01004793,E08000001,Bolton,Crime,1,642,1.666,2019
E01004793,E08000001,Bolton,"Education, Skills and Training",1,2709,53.125,2019
E01004793,E08000001,Bolton,Employment,1,2115,0.224,2019
E01004793,E08000001,Bolton,Health Deprivation and Disability,1,2711,1.23,2019
E01004793,E08000001,Bolton,Income,1,2491,0.291,2019
E01004793,E08000001,Bolton,Income Deprivation Affecting Children,2,4651,0.294,2019
E01004793,E08000001,Bolton,Income Deprivation Affecting Older People,2,4644,0.301,2019
E01004793,E08000001,Bolton,Index of Multiple Deprivation,1,2135,50.299,2019
E01004793,E08000001,Bolton,Living Environment,6,18560,15.835,2019
E01004794,E08000001,Bolton,Barriers to Housing and Services,8,24907,13.428,2019
E01004794,E08000001,Bolton,Crime,1,2764,1.106,2019
E01004794,E08000001,Bolton,"Education, Skills and Training",1,476,75.609,2019
E01004794,E08000001,Bolton,Employment,1,492,0.297,2019
E01004794,E08000001,Bolton,Health Deprivation and Disability,2,3328,1.128,2019
E01004794,E08000001,Bolton,Income,1,192,0.433,2019
E01004794,E08000001,Bolton,Income Deprivation Affecting Children,1,183,0.532,2019
E01004794,E08000001,Bolton,Income Deprivation Affecting Older People,2,5737,0.275,2019
E01004794,E08000001,Bolton,Index of Multiple Deprivation,1,599,63.88,2019
E01004794,E08000001,Bolton,Living Environment,6,18914,15.348,2019
E01004795,E08000001,Bolton,Barriers to Housing and Services,7,20298,17.109,2019
E01004795,E08000001,Bolton,Crime,2,3683,0.98,2019
E01004795,E08000001,Bolton,"Education, Skills and Training",4,10874,24.925,2019
E01004795,E08000001,Bolton,Employment,1,1248,0.252,2019
E01004795,E08000001,Bolton,Health Deprivation and Disability,1,829,1.718,2019
E01004795,E08000001,Bolton,Income,2,4966,0.231,2019
E01004795,E08000001,Bolton,Income Deprivation Affecting Children,4,11315,0.183,2019
E01004795,E08000001,Bolton,Income Deprivation Affecting Older People,3,8238,0.226,2019
E01004795,E08000001,Bolton,Index of Multiple Deprivation,1,3014,45.227,2019
E01004795,E08000001,Bolton,Living Environment,6,17302,17.386,2019
E01004796,E08000001,Bolton,Barriers to Housing and Services,10,31829,5.455,2019
E01004796,E08000001,Bolton,Crime,1,1400,1.388,2019
E01004796,E08000001,Bolton,"Education, Skills and Training",4,10798,25.056,2019
E01004796,E08000001,Bolton,Employment,3,9276,0.123,2019
E01004796,E08000001,Bolton,Health Deprivation and Disability,4,12357,0.249,2019
E01004796,E08000001,Bolton,Income,4,12211,0.133,2019
E01004796,E08000001,Bolton,Income Deprivation Affecting Children,5,14710,0.143,2019
E01004796,E08000001,Bolton,Income Deprivation Affecting Older People,7,20102,0.1,2019
E01004796,E08000001,Bolton,Index of Multiple Deprivation,3,8023,29.999,2019
E01004796,E08000001,Bolton,Living Environment,1,1584,51.957,2019
E01004797,E08000001,Bolton,Barriers to Housing and Services,7,20535,16.92,2019
E01004797,E08000001,Bolton,Crime,1,250,1.951,2019
E01004797,E08000001,Bolton,"Education, Skills and Training",1,1766,59.69,2019
E01004797,E08000001,Bolton,Employment,1,2886,0.205,2019
E01004797,E08000001,Bolton,Health Deprivation and Disability,1,2227,1.324,2019
E01004797,E08000001,Bolton,Income,1,1795,0.315,2019
E01004797,E08000001,Bolton,Income Deprivation Affecting Children,1,1629,0.391,2019
E01004797,E08000001,Bolton,Income Deprivation Affecting Older People,2,5297,0.285,2019
E01004797,E08000001,Bolton,Index of Multiple Deprivation,1,1684,53.253,2019
E01004797,E08000001,Bolton,Living Environment,5,14481,21.098,2019
E01004798,E08000001,Bolton,Barriers to Housing and Services,9,28467,10.146,2019
E01004798,E08000001,Bolton,Crime,1,1157,1.467,2019
E01004798,E08000001,Bolton,"Education, Skills and Training",2,5345,40.07,2019
E01004798,E08000001,Bolton,Employment,2,3673,0.19,2019
E01004798,E08000001,Bolton,Health Deprivation and Disability,2,4027,1.028,2019
E01004798,E08000001,Bolton,Income,3,7198,0.192,2019
E01004798,E08000001,Bolton,Income Deprivation Affecting Children,3,9845,0.204,2019
E01004798,E08000001,Bolton,Income Deprivation Affecting Older People,3,8330,0.225,2019
E01004798,E08000001,Bolton,Index of Multiple Deprivation,2,4592,38.934,2019
E01004798,E08000001,Bolton,Living Environment,4,12717,23.588,2019
E01004799,E08000001,Bolton,Barriers to Housing and Services,8,26255,12.269,2019
E01004799,E08000001,Bolton,Crime,4,10347,0.406,2019
E01004799,E08000001,Bolton,"Education, Skills and Training",6,19161,12.857,2019
E01004799,E08000001,Bolton,Employment,6,18572,0.071,2019
E01004799,E08000001,Bolton,Health Deprivation and Disability,5,15783,0.014,2019
E01004799,E08000001,Bolton,Income,7,20559,0.075,2019
E01004799,E08000001,Bolton,Income Deprivation Affecting Children,9,28052,0.046,2019
E01004799,E08000001,Bolton,Income Deprivation Affecting Older People,7,22291,0.086,2019
E01004799,E08000001,Bolton,Index of Multiple Deprivation,7,21263,12.804,2019
E01004799,E08000001,Bolton,Living Environment,7,22910,11.087,2019
E01004800,E08000001,Bolton,Barriers to Housing and Services,7,22308,15.536,2019
E01004800,E08000001,Bolton,Crime,9,26751,-0.747,2019
E01004800,E08000001,Bolton,"Education, Skills and Training",6,18393,13.722,2019
E01004800,E08000001,Bolton,Employment,5,14303,0.09,2019
E01004800,E08000001,Bolton,Health Deprivation and Disability,3,9389,0.476,2019
E01004800,E08000001,Bolton,Income,7,22390,0.066,2019
E01004800,E08000001,Bolton,Income Deprivation Affecting Children,7,21622,0.084,2019
E01004800,E08000001,Bolton,Income Deprivation Affecting Older People,10,29823,0.046,2019
E01004800,E08000001,Bolton,Index of Multiple Deprivation,6,19060,14.858,2019
E01004800,E08000001,Bolton,Living Environment,5,13365,22.663,2019
E01004801,E08000001,Bolton,Barriers to Housing and Services,5,14248,22.063,2019
E01004801,E08000001,Bolton,Crime,1,1213,1.446,2019
E01004801,E08000001,Bolton,"Education, Skills and Training",1,752,70.497,2019
E01004801,E08000001,Bolton,Employment,1,683,0.281,2019
E01004801,E08000001,Bolton,Health Deprivation and Disability,1,3156,1.151,2019
E01004801,E08000001,Bolton,Income,1,731,0.369,2019
E01004801,E08000001,Bolton,Income Deprivation Affecting Children,1,679,0.451,2019
E01004801,E08000001,Bolton,Income Deprivation Affecting Older People,3,7036,0.248,2019
E01004801,E08000001,Bolton,Index of Multiple Deprivation,1,786,61.511,2019
E01004801,E08000001,Bolton,Living Environment,6,19570,14.587,2019
E01004802,E08000001,Bolton,Barriers to Housing and Services,6,17886,18.985,2019
E01004802,E08000001,Bolton,Crime,2,3876,0.955,2019
E01004802,E08000001,Bolton,"Education, Skills and Training",1,2242,56.04,2019
E01004802,E08000001,Bolton,Employment,1,1105,0.258,2019
E01004802,E08000001,Bolton,Health Deprivation and Disability,1,2132,1.343,2019
E01004802,E08000001,Bolton,Income,1,364,0.403,2019
E01004802,E08000001,Bolton,Income Deprivation Affecting Children,1,416,0.483,2019
E01004802,E08000001,Bolton,Income Deprivation Affecting Older People,1,1482,0.421,2019
E01004802,E08000001,Bolton,Index of Multiple Deprivation,1,996,59.1,2019
E01004802,E08000001,Bolton,Living Environment,4,10413,27.207,2019
E01004803,E08000001,Bolton,Barriers to Housing and Services,6,17368,19.419,2019
E01004803,E08000001,Bolton,Crime,9,28867,-0.972,2019
E01004803,E08000001,Bolton,"Education, Skills and Training",10,31100,1.8,2019
E01004803,E08000001,Bolton,Employment,9,27358,0.042,2019
E01004803,E08000001,Bolton,Health Deprivation and Disability,6,18921,-0.185,2019
E01004803,E08000001,Bolton,Income,10,29617,0.036,2019
E01004803,E08000001,Bolton,Income Deprivation Affecting Children,9,29093,0.04,2019
E01004803,E08000001,Bolton,Income Deprivation Affecting Older People,10,30853,0.039,2019
E01004803,E08000001,Bolton,Index of Multiple Deprivation,9,29345,6.094,2019
E01004803,E08000001,Bolton,Living Environment,6,18809,15.501,2019
E01004804,E08000001,Bolton,Barriers to Housing and Services,5,16315,20.286,2019
E01004804,E08000001,Bolton,Crime,7,20651,-0.272,2019
