name,id,type,organisation,author,author_email,maintainer,maintainer_email,notes,updated
Greater Manchester Road Casualty Statistics,d19c8bfa-d1b9-4fd7-8c0e-83d6ff9a5755,dataset,Transport for Greater Manchester,Transport for Greater Manchester,opendata@tfgm.com,Michelle Peel,,"This dataset is available from our pages on data.gov.uk - the link below will take you to the page where you can download the dataset.

Statistics about reported road traffic casualties in the Greater Manchester area updated annually. For most tabulations data is provided for each year from either 1989 to 2015 or from 1994 to 2015. If data is required for other years, please contact HFAS. 

By providing the data in this single year format, the user is able to undertake their own analysis on trends more easily. 

The tables are based on data collected by the Greater Manchester Police about road traffic accidents that involved personal injury and took place on the public highway. Deaths or injuries occurring on the public highway without a vehicle being involved are not classed as road traffic accidents. Accidents that do not become known to the police, or only become known 30 days or longer after their occurrence are also excluded. Accidents are recorded by the police using the STATS19 form, a copy of which can be found in HFAS Report 1800, available at www.gmtu.gov.uk. 

The number of injury accidents not known to the Greater Manchester Police is not easily identified. It would seem reasonable to assume that all `fatal’ accidents are reported, but these represent only a small proportion of the total. However, the limited evidence available indicates that serious’ andslight’ accidents are under reported. Without a detailed study in Greater Manchester, it has been assumed historically that 20% and 35% respectively have not been reported. It has also been assumed that the level of under-reporting has been consistent from year to year when analysing the statistics presented in this report. For further information on the levels of reporting in road accidents, the DfT have produced a number of papers which are available via their website www.dft.gov.uk. 
 
",2017-01-03
Rail Station and Metrolink Stop Locations,af5867f5-3371-4815-b30a-7506222f70b4,dataset,Transport for Greater Manchester,Transport for Greater Manchester,opendata@tfgm.com,Michelle Peel,,"Location data for Metrolink and Rail stations in Greater Manchester. 

This dataset is available from our pages on data.gov.uk - the link below will take you to the page where you can download the dataset.",2017-01-03
Public Transport Schedules - GTFS,2a4bde27-57de-48eb-b441-befd6fdee38b,dataset,Transport for Greater Manchester,Transport for Greater Manchester,opendata@tfgm.com,Michelle Peel,,"Public transport schedule data for all services within the Greater Manchester boundary. Updated by TfGM weekly.

This dataset is available from our pages on data.gov.uk - the link will take you to the page from which you can download the dataset.",2016-07-13
Bus Stopping Points,2a821366-227c-4990-b1a3-c581d9746a64,dataset,Transport for Greater Manchester,Transport for Greater Manchester,opendata@tfgm.com,Michelle Peel,,This dataset is available from our pages on data.gov.uk - the link below will take you to the page where you can download the dataset.,2016-07-13
Bus stops and schedules,d1711424-b0cc-4ae3-91cb-633e56732df2,dataset,Transport for Greater Manchester,,,,,"Bus stop and bus time data for all services within the Greater Manchester boundary. Known technically as ""ATCO-CIF"".

This dataset is available from the data.gov.uk website. ",2016-07-13
Salford City Council Organisation Chart,f123f544-5517-44ef-91e1-a9ccfc812446,dataset,Salford City Council,Kathryn Kennedy,Kathryn.Kennedy@salford.gov.uk,Kathryn Kennedy,Kathryn.Kennedy@salford.gov.uk,"This dataset provides information on Salford City Council's organisation chart covering staff in the top three levels of the organisation. Details are provided to meet the required standards of the Local Government Transparency Code 2014. 
",2016-06-13
Salford City Council Senior Salaries,4d956034-14d6-4946-8a11-761fb558815c,dataset,Salford City Council,Kathryn Kennedy,kathryn.kennedy@salford.gov.uk,Kathryn Kennedy,kathryn.kennedy@salford.gov.uk,"This dataset provides information on the salaries and roles of senior staff employed by Salford City Council. This includes:
- the number of employees whose remuneration in that year was at least £50,000 in brackets of £5,000
- details of remuneration and job title of certain senior employees whose salary is at least £50,000, 
- employees whose salaries are £150,000 or more must also be identified by name.
-  a list of responsibilities (for example, the services and functions they are responsible for, budget held and number of staff) 
- details of bonuses and ‘benefits-in-kind’, for all employees whose salary exceeds £50,000.

Details are provided to meet the required standards of the Local Government Transparency Code 2014. 
",2016-06-13
Nitrogen Dioxide Diffusion Tube Sites,acaaaba8-e930-4b42-9227-ea26ad1115d6,dataset,Salford City Council,NA,NA,NA,NA,Salford operates a nitrogen dioxide diffusion tube network to obtain information on the temporal and spatial variation. The network has over 10 years of data at various locations in the area. The tubes are exposed for set period and an annual average calculated Upon accessing this licensed data you will be deemed to have accepted the terms of the Public Sector End User Licence - INSPIRE.,2016-06-13
Air Quality Monitoring Stations,3d1bb00b-34c5-4022-9627-7d21f0313a8e,dataset,Salford City Council,NA,NA,NA,NA,"Salford operates a number of automatic air quality stations for measurement of pollutants using continuous analyses. Some sites are part of the Department of Environment and Rural Affairs (DEFRA) Automatic Urban and Rural Network (AURN) and other are maintained by Salford City Council as part of the Greater Manchester Air Quality Network (GMAQN). The network has over 10 years of data at various locations in the area. Data is available on Defra’s air quality pages, GreatAirManchester and Air Quality England. The sites in Salford are Eccles (AURN), M60 (AURN) and Glazebury (AURN) Note Defra operate the Glazebury site and are responsible for it. Defra also collect and manage the information for Eccles and the M60 data is managed by Salford. Current pollutants monitored Nitrogen dioxide, PM10, PM2.5, O3 Data available as excel compatible files Upon accessing this licensed data you will be deemed to have accepted the terms of the Public Sector End User Licence - INSPIRE.",2016-06-13
Salford Polling Stations,caebd85e-1fd9-4905-ba8f-c392dd69f90b,dataset,Salford City Council,,,,,Locations of polling stations within Salford used in elections.,2016-06-13
Salford City Council Parking Account and Parking Spaces,50da928c-d3dd-437a-bc88-0179e3e652cc,dataset,Salford City Council,Parking Services,parking.services@salford.gov.uk,Parking Services,parking.services@salford.gov.uk,"This report provides a breakdown of income and expenditure on Salford City Council's parking account, including revenue collected from on-street parking, off-street parking and Penalty Charge Notices. Where a surplus exists it will also show a breakdown of how the authority has spent this surplus on its parking account.

The report also includes the number of marked out controlled on and off-street parking spaces within their area, or an estimate of the number of spaces where controlled parking space is not marked out in individual parking bays or spaces.

Details are provided to meet the required standards of the Local Government Transparency Code 2014. ",2016-06-13
Salford City Council Pay multiple,2343697a-2154-46d0-9e0c-a1543e412bc5,dataset,Salford City Council,,,,,"This dataset provides information on Salford City Council's pay multiple.

The pay multiple is defined as the ratio between the highest paid taxable earnings for the given year (including base salary, variable pay, bonuses, allowances and the cash value of any benefits-in-kind) and the median earnings figure of the whole of the authority’s workforce, (e.g. that of all employees of the local authority on a fixed date each year, coinciding with reporting at the end of the financial year but  excluding changes in pension benefits, which due to their variety and complexity cannot be accurately included in a pay multiple disclosure).

 Details are provided to meet the required standards of the Local Government Transparency Code 2014. 
",2016-06-13
DfT RoadSafety Accidents 2007 GM Subset,85e2e22d-ca94-4f06-8d86-ba996d1b27f4,dataset,Open Data Manchester,Julian Tait,julian@opendatamanchester.org.uk,NA,NA,"This file provides detailed data about the circumstances of personal injury road accidents in Greater Manchester in 2007, the types of vehicles involved and the consequential casualties. The statistics relate only to personal injury accidents on public roads that are reported to the police, and subsequently recorded, using the STATS19 accident reporting form.",2016-04-15
DfT RoadSafety Accidents 2008 GM Subset,4633fbf0-6377-47ed-a0e4-06fe328125b7,dataset,Open Data Manchester,Julian Tait,julian@opendatamanchester.org.uk,NA,NA,"This file provides detailed data about the circumstances of personal injury road accidents in Greater Manchester in 2008, the types of vehicles involved and the consequential casualties. The statistics relate only to personal injury accidents on public roads that are reported to the police, and subsequently recorded, using the STATS19 accident reporting form.",2016-04-14
Births and Mortality in Trafford Wards 2006,a7fc067c-6054-474e-aa19-284d6e5beca6,dataset,Trafford Council,Office for National Statistics,NA,NA,NA,NA,2016-04-13
Births and Mortality in Trafford Wards 2007,81f6dda7-c7c0-4a9d-80e0-9a375a368d4f,dataset,Trafford Council,Office for National Statistics,NA,NA,NA,NA,2016-04-13
Salford City Council - Public toilets,0015ce8a-71d0-46f8-8701-730b3622b334,dataset,Salford City Council,,,,,"Public toilets (public conveniences) managed by Salford City Council.  

Dataset is formatted to comply with the Local Government Open Data Incentive Scheme Schema compliance - Public toilets: http://schemas.opendata.esd.org.uk/PublicToilets",2016-04-13
Salford City Council Land and property assets (Transparency Code),3c523f99-03a2-43f9-a36c-eca4114595db,dataset,Salford City Council,,,,,"This dataset provides information on Salford City Council's land and building assets. Details are provided to meet the required standards of the Local Government Transparency Code 2014. 

The Code states for vacant properties that only the first part of the postcode should be published so this information has been redacted accordingly. 

A full dataset version including the UPRN and geo-co-ordinates derived from Ordnance Survey data can only be released for “using the data to respond to, or interact with the Licensor to deliver or support the delivery of the Licensor’s Core Business” due to OS licensing restrictions under a PSMA end user licence: http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html 

If you wish to use this data for any other purpose other than supporting the delivery of the Licensor’s Core Business, then you should contact Ordnance Survey via https://www.ordnancesurvey.co.uk/contact/ or telephone 03456 05 05 05 to discuss how they can help you with your requirements. 
",2016-04-13
Salford City Council - Planning applications,61f7eda9-b456-47ab-bba8-b27217dd15a7,dataset,Salford City Council,,,,,"Planning applications received by Salford City Council since 1 April 2014.

Dataset is formatted to comply with the Local Government Open Data Incentive Scheme Schema compliance - planning applications: http://schemas.opendata.esd.org.uk/PlanningApplications

A full dataset version including the UPRN derived from Ordnance Survey data can only be released for “using the data to respond to, or interact with the Licensor to deliver or support the delivery of the Licensor’s Core Business” due to OS licensing restrictions under a PSMA end user licence: http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html

If you wish to use this data for any other purpose other than supporting the delivery of the Licensor’s Core Business, then you should contact Ordnance Survey via https://www.ordnancesurvey.co.uk/contact/ or telephone 03456 05 05 05 to discuss how they can help you with your requirements.",2016-04-13
Salford City Council Counter Fraud Work,9f3a66c6-1b39-4807-ab67-524f95909c46,dataset,Salford City Council,,,,,"This dataset provides information on Salford City Council's counter fraud work. Details are provided to meet the required standards of the Local Government Transparency Code 2014. 
",2016-04-13
Salford City Council - Premises licences,6814d97e-17f7-40b7-915a-5777ac95d506,dataset,Salford City Council,,,,opendata@salford.gov.uk,"Premises licences issued by Salford City Council.  These are licences issued to premises which sell alcohol, provide regulated entertainment or serve hot food after 11pm.

Dataset is formatted to comply with the Local Government Open Data Incentive Scheme Schema compliance - premises licences: http://schemas.opendata.esd.org.uk/PremisesLicences

A full dataset version including the UPRN derived from Ordnance Survey data can only be released for “using the data to respond to, or interact with the Licensor to deliver or support the delivery of the Licensor’s Core Business” due to OS licensing restrictions under a PSMA end user licence: http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html

If you wish to use this data for any other purpose other than supporting the delivery of the Licensor’s Core Business, then you should contact Ordnance Survey via https://www.ordnancesurvey.co.uk/contact/ or telephone 03456 05 05 05 to discuss how they can help you with your requirements.",2016-04-13
Parks,c4c9e394-33cc-49f3-8da9-b193cd015665,dataset,Salford City Council,NA,NA,NA,NA,Dataset of park locations managed and maintained by Salford City Council. Upon accessing this licensed data you will be deemed to have accepted the terms of the Public Sector End User Licence - INSPIRE.,2016-04-13
"Salford City Council Grants to voluntary, community and social enterprise (VCSE) organisations",2d04efa1-5d33-4604-93dc-8b2701eed942,dataset,Salford City Council,Sandra Derbyshire,sandra.derbyshire@salford.gov.uk,Sandra Derbyshire,sandra.derbyshire@salford.gov.uk,"This dataset provides information on grants made to voluntary, community and social enterprise organisations by Salford City Council. Details are provided to meet the required standards of the Local Government Transparency Code 2014. 
",2016-04-13
Social Housing Asset Data,9a85a15f-42c6-4a7e-a358-840522a1488b,dataset,Salford City Council,Joanne Hardman,Joanne.Hardman@salford.gov.uk,Joanne Hardman,Joanne.Hardman@salford.gov.uk,"This dataset provides information on Social Housing Asset Data at Salford City Council. Details are provided to meet the required standards of the Local Government Transparency Code 2014. 
",2016-04-13
Business Rates,dc37c693-d910-457a-bbee-70a4037715bb,dataset,Salford City Council,Corporate Business,,Corporate Business,,"Information on businesses who pay business rates in Salford. Information includes business address, rateable value and other details. ",2016-04-13
Metrolink park and ride spaces,6a541241-77ec-4324-9d71-2ddf8b9c0862,dataset,Transport for Greater Manchester,,,Michelle Peel,opendata@tfgm.com ,"Park & ride spaces by Metrolink station / stop. Source: TfGM Metrolink. RESTRICTIONS : None

",2016-04-08
Salford City Council contracts let,f11ff3db-81ad-4c81-add0-826dab0960cf,dataset,Salford City Council,,,,webmaster@salford.gov.uk,Contracts let by Salford City Council's corporate procurement unit,2016-04-04
Salford City Council expenditure over £500,4b5beac1-5ead-471b-8edf-68c7c04ebe14,dataset,Salford City Council,,,,,This page lists reports of individual payments to suppliers with a value over £500 made within the month. Publication of these lists forms part of the council's commitment to be open and transparent with its residents.,2016-04-04
Leisure Centres,3f74e933-6272-410e-b341-07674b93aefb,dataset,Greater Manchester,Jamie Whyte,jamie.whyte@trafford.gov.uk,NA,NA,Lists and locations / map files of all Leisure Centres across Greater Manchester,2016-04-04
Libraries,ca7bb233-1c69-4bd7-a6c3-59c06aaf24a4,dataset,Greater Manchester,Jamie Whyte,jamie.whyte@trafford.gov.uk,NA,NA,List and locations or map files of libraries across Greater Manchester,2016-04-04
Parks and Greenspaces,d8bbdb67-c5f5-48f5-b69c-9e4b73d9f8f5,dataset,Greater Manchester,Jamie Whyte,jamie.whyte@trafford.gov.uk,NA,NA,List and locations/maps of parks and greenspaces across Greater Manchester,2016-04-04
Speed Camera locations in Greater Manchester,938f0d30-35d5-4f0a-bcd4-cd3687760e77,dataset,Transport for Greater Manchester,Transport for Greater Manchester,,Transport for Greater Manchester,michelle.peel@tfgm.com,"Location of fixed and mobile speed cameras in Greater Manchester.

Speed limit information provided by Local Authorities.

NOTE: The Police have discretion to undertake speed enforcement anywhere within the Greater Manchester area, activity which is separate to and not funded by or through the Greater Manchester Casualty Reduction Partnership, and not subject to the Partnership's protocols nor scrutiny of the Partnership Board.

This dataset is available from the data.gov.uk website.

",2016-02-09
Tameside Council Senior Salary Information,dd0b40ab-428a-401f-93f6-4e725d62d9f9,dataset,Tameside Metropolitan Borough Council,NA,NA,NA,NA,Senior Salary Information for Tameside Council,2016-01-28
Tameside Supplier Spend - December 2010,c24a15ab-e548-443b-96e1-5b7813d74686,dataset,Tameside Metropolitan Borough Council,Tameside Council,NA,NA,NA,Supplier Spend £500+,2016-01-28
Trafford Supplier Spend - July 2010,dce52bcd-7191-460e-adfa-73ab16858e9b,dataset,NA,Trafford Council,accounts.payable@trafford.gov.uk,NA,accounts.payable@trafford.gov.uk,Supplier Spend £500+,2016-01-13
Trafford Supplier Spend - June 2010,7c62ea50-f6f5-4de3-8e2a-b6260b72c99e,dataset,NA,Trafford Council,accounts.payable@trafford.gov.uk,NA,accounts.payable@trafford.gov.uk,Supplier Spend £500+,2016-01-13
Trafford Supplier Spend - May 2010,d5ea82d9-b309-478f-90cd-139a7698380b,dataset,NA,Trafford Council,accounts.payable@trafford.gov.uk,NA,accounts.payable@trafford.gov.uk,Supplier Spend £500+,2016-01-13
Trafford Supplier Spend - October 2010,ce7272f4-2f3e-4034-ab03-bcc93a4c8d72,dataset,NA,Trafford Council,accounts.payable@trafford.gov.uk,NA,accounts.payable@trafford.gov.uk,Supplier Spend £500+,2016-01-13
Trafford Supplier Spend - November 2010,93b57c8e-c695-4c7f-a2ff-cad99d27084d,dataset,NA,Trafford Council,accounts.payable@trafford.gov.uk,NA,accounts.payable@trafford.gov.uk,Supplier Spend £500+,2016-01-13
Trafford Supplier Spend - December 2010,6441ea5d-17d4-49e9-a111-af5e19f77c38,dataset,NA,Trafford Council,accounts.payable@trafford.gov.uk,NA,accounts.payable@trafford.gov.uk,Supplier Spend £500+,2016-01-13
Trafford Supplier Spend - April 2012,85ff93ae-2e8c-41be-a043-d62c08174eca,dataset,NA,Jamie Whyte,jamie.whyte@trafford.gov.uk,NA,NA,Supplier Spend 0+,2016-01-13
Business Rates Arrears 2005-2010,52d21f16-6c96-4dc2-8c93-1666ea75b039,dataset,Trafford Council,NA,NA,NA,NA,Business Rates (NNDR) Arrears as at 31 March 2011 for Years 2005/06 to 2009/10 per ward area,2016-01-13
Business Rates Arrears 2010-11,703e9946-601a-400a-8271-fcbce8273d7f,dataset,Trafford Council,NA,NA,NA,NA,Business Rates (NNDR) Arrears for 2010/11 as at 31 March 2011 per ward area.,2016-01-13
Council Tax Arrears 2005-2010,ed6eb210-5c4a-4b2f-a1e9-c2bba626dcbb,dataset,Trafford Council,NA,NA,NA,NA,Council Tax Arrears as at 31 March 2011 for Years 2005/06 to 2009/10 per ward area,2016-01-13
Council Tax Arrears 2010-11,dbefce47-dca6-4373-8248-7be944282e75,dataset,Trafford Council,NA,NA,NA,NA,Council Tax Arrears for 2010/11 as at 31 March 2011 per ward area.,2016-01-13
Trafford Council Spatial Assets,2a0b3991-83bf-4214-9627-5dd63119c34b,dataset,Trafford Council,NA,NA,NA,NA,Land and Buildings owned by Trafford Council,2016-01-13
Trafford Senior Salaries,bd3fb955-5a83-41ca-b322-e66e1c68ffff,dataset,Trafford Council,NA,NA,NA,NA,Salaries of the council's senior staff,2016-01-13
Trafford Supplier Spend - April 2010,51502ea3-8895-446e-ab26-baec89589f2a,dataset,Trafford Council,Trafford Council,accounts.payable@trafford.gov.uk,NA,accounts.payable@trafford.gov.uk,Supplier Spend £500+,2016-01-13
Trafford Supplier Spend - April 2011,16f9a9b3-935a-4dc8-8f3b-a8b58b160d7f,dataset,Trafford Council,Trafford Council,accounts.payable@trafford.gov.uk,NA,accounts.payable@trafford.gov.uk,Supplier Spend £500+,2016-01-13
Trafford Supplier Spend - August 2010,afcb7745-71b8-4039-9c00-f4af1600cbb5,dataset,Trafford Council,Trafford Council,accounts.payable@trafford.gov.uk,NA,accounts.payable@trafford.gov.uk,Supplier Spend £500+,2016-01-13
Trafford Supplier Spend - August 2011,537e5ad0-6d9c-4f2b-b916-20c061957f80,dataset,Trafford Council,Trafford Council,accounts.payable@trafford.gov.uk,NA,NA,Supplier Spend £0+,2016-01-13
Trafford Supplier Spend - December 2011,90aea256-7cc4-4917-b356-6db22bfde2e5,dataset,Trafford Council,Trafford Council,accounts.payable@trafford.gov.uk,NA,NA,Supplier Spend 0+,2016-01-13
Trafford Supplier Spend - February 2011,1916b4f3-dddd-4653-804d-ef5efbd1c8e4,dataset,Trafford Council,Trafford Council,accounts.payable@trafford.gov.uk,NA,accounts.payable@trafford.gov.uk,Supplier Spend £500+,2016-01-13
Trafford Supplier Spend - January 2011,58c526ef-2bd4-469b-8a1d-94ba7dec0d9d,dataset,Trafford Council,Trafford Council,accounts.payable@trafford.gov.uk,NA,accounts.payable@trafford.gov.uk,Supplier Spend 500+,2016-01-13
Trafford Supplier Spend - January 2012,493ee540-2278-4a30-9d43-349d1be2ebdb,dataset,Trafford Council,Trafford Council,accounts.payable@trafford.gov.uk,NA,NA,Supplier Spend £0+,2016-01-13
Trafford Supplier Spend - July 2011,00980fda-6319-4344-8e67-8b20af4d575d,dataset,Trafford Council,Trafford Council,accounts.payable@trafford.gov.uk,NA,accounts.payable@trafford.gov.uk,Supplier Spend - All Payments £0+,2016-01-13
Trafford Supplier Spend - June 2011,2b85d6f9-9baa-49d1-9819-73987b58b9a3,dataset,Trafford Council,Trafford Council,accounts.payable@trafford.gov.uk,NA,accounts.payable@trafford.gov.uk,Supplier Spend - All Payments £0+,2016-01-13
Trafford Supplier Spend - March 2011,28355c76-788a-400c-aa3d-404e015c56ce,dataset,Trafford Council,Trafford Council,accounts.payable@trafford.gov.uk,NA,accounts.payable@trafford.gov.uk,Supplier Spend £500+,2016-01-13
Trafford Supplier Spend - May 2011,377108c9-86de-4a8d-99b1-5f6da05150aa,dataset,Trafford Council,Trafford Council,accounts.payable@trafford.gov.uk,NA,accounts.payable@trafford.gov.uk,Supplier Spend £500+,2016-01-13
Trafford Supplier Spend - November 2011,31646a55-6faf-4f99-88e5-36479a1380de,dataset,Trafford Council,Trafford Council,accounts.payable@trafford.gov.uk,NA,NA,Supplier Spend £0+,2016-01-13
Trafford Supplier Spend - October 2011,39ad6da2-3458-4f64-986b-1092f6c04f9c,dataset,Trafford Council,Accounts Payable,accounts.payable@trafford.gov.uk,NA,accounts.payable@trafford.gov.uk,Supplier Spend £0+,2016-01-13
Trafford Supplier Spend - September 2010,e2854b95-99b0-400a-9740-b494a44c7f8a,dataset,Trafford Council,Trafford Council,accounts.payable@trafford.gov.uk,NA,accounts.payable@trafford.gov.uk,Supplier Spend £500+,2016-01-13
Trafford Supplier Spend - September 2011,91603e99-a817-4c85-9a5a-16abc8dcd64d,dataset,Trafford Council,Trafford Council,accounts.payable@trafford.gov.uk,NA,NA,Supplier Spend £0+,2016-01-13
Defibrillators,08306cd3-6e1f-43ef-ab1d-0c8008f41f62,dataset,Trafford Innovation and Intelligence Lab,Jamie Whyte,jamie.whyte@trafford.gov.uk,,,Locations of automated external defibrillators (AEDs),2015-10-23
Schools in Salford,af9d74bd-8997-4f99-a613-e89a7896b545,dataset,Salford City Council,,,,,"List of schools in Salford, (including academies). Includes type of school, address, contact details, head teacher, number of pupils and hyperlink to OFSTED reports.",2015-09-30
Libraries in Salford,fa7fccac-2d90-4e26-99cd-0b2b3886c961,dataset,Salford City Council,,,,,"Libraries in Salford that are managed by [Salford Community Leisure](http://www.salfordcommunityleisure.co.uk/ ""Salford Community Leisure website"") including name, location, website and Unique Property Reference Number (UPRN)",2015-09-24
Cultural Venues,da887873-17da-484d-ac8f-f574e5208cbd,dataset,Salford City Council,,,,,"Cultural venues within Salford that are managed by [Salford Community Leisure](http://www.salfordcommunityleisure.co.uk/ ""Salford Community Leisure website"").",2015-09-24
Locally Listed Heritage Sites in Salford,d79d3bd1-ab84-415d-9b4d-14a088a77a96,dataset,Salford City Council,,,,opendata@salford.gov.uk,"List of locally adopted heritage assets. For more information on its compilation please see: http://www.salford.gov.uk/locallist.htm
",2015-09-24
Gritting Routes,d507b5c5-acd7-442c-975b-2a6cf7b63285,dataset,Salford City Council,,,,,Details of winter road gritting routes within Salford.  For further information see http://www.salford.gov.uk/gritting.htm,2015-09-24
School closure information,c67303ee-35ea-4da9-b809-2850c72c5a61,dataset,Salford City Council,,,,,"All closure information for schools, pupil referral units and children's centres.",2015-09-24
Ward information,bfe2ae53-5a95-4f34-a503-ebc739aba254,dataset,Salford City Council,,,,,Information about the 20 wards that make up the city of Salford.,2015-09-24
Gateway Centres in Salford,bacf7573-366c-4ba3-9414-47bec2372330,dataset,Salford City Council,,,,,Gateway Centres bring together council and health services under one roof.,2015-09-24
Greenspaces in Salford,b9e6fea8-ceea-4e77-a7b6-e462786ac7fb,dataset,Salford City Council,,,,,"Results from Greenspaces Audit. For definition of Greenspaces please refer to: http://www.salford.gov.uk/greenspaceaudit.htm
",2015-09-24
Councillors,afe0556c-1cde-4919-9941-847355840fe6,dataset,Salford City Council,,,,,"Salford CIty Council Councillor details provided in XML data format.  Including a list of councillors, contact details and committee membership.",2015-09-24
Salford Polling Districts,9a35c62d-8416-488b-91ed-b7a2abaaf7e4,dataset,Salford City Council,,,,,Polling districts of Salford used in elections.,2015-09-24
Council Constitution,85ceecb7-77ba-451d-877e-88063e6dad08,dataset,Salford City Council,,decisionmakingandscrutiny@salford.gov.uk,,decisionmakingandscrutiny@salford.gov.uk,"This dataset provides information on the Constitution at Salford City Council. Details are provided to meet the required standards of the Local Government Transparency Code 2014. 
",2015-09-24
